atomic_num	symbol	name	group	period	code	solar_abund_rank	alpha_enhanced_rank
1	H	Hydrogen	1	1	1	1	1
2	He	Helium	18	1	2	2	2
3	Li	Lithium	1	2	3	72	71
4	Be	Beryllium	2	2	4	62	62
5	B	Boron	13	2	5	40	43
6	C	Carbon	14	2	6	4	4
7	N	Nitrogen	15	2	7	6	8
8	O	Oxygen	16	2	8	3	3
9	F	Fluorine	17	2	9	24	24
10	Ne	Neon	18	2	10	5	5
11	Na	Sodium	1	3	11	15	14
12	Mg	Magnesium	2	3	12	7	6
13	Al	Aluminium	13	3	13	11	13
14	Si	Silicon	14	3	14	8	7
15	P	Phosphorus	15	3	15	19	18
16	S	Sulfur	16	3	16	10	9
17	Cl	Chlorine	17	3	17	17	17
18	Ar	Argon	18	3	18	14	11
19	K	Potassium	1	4	19	20	21
20	Ca	Calcium	2	4	20	12	12
21	Sc	Scandium	3	4	21	37	37
22	Ti	Titanium	4	4	22	22	19
23	V	Vanadium	5	4	23	33	33
24	Cr	Chromium	6	4	24	16	16
25	Mn	Manganese	7	4	25	18	20
26	Fe	Iron	8	4	26	9	10
27	Co	Cobalt	9	4	27	21	22
28	Ni	Nickel	10	4	28	13	15
29	Cu	Copper	11	4	29	32	32
30	Zn	Zinc	12	4	30	23	23
31	Ga	Gallium	13	4	31	39	39
32	Ge	Germanium	14	4	32	34	34
33	As	Arsenic	15	4	33	44	44
34	Se	Selenium	16	4	34	35	35
35	Br	Bromine	17	4	35	43	40
36	Kr	Krypton	18	4	36	36	36
37	Rb	Rubidium	1	5	37	41	41
38	Sr	Strontium	2	5	38	38	38
39	Y	Yttrium	3	5	39	46	45
40	Zr	Zirconium	4	5	40	42	42
41	Nb	Niobium	5	5	41	60	61
42	Mo	Molybdenum	6	5	42	51	51
43	Tc	Technetium	7	5	43	118	118
44	Ru	Ruthenium	8	5	44	52	52
45	Rh	Rhodium	9	5	45	67	68
46	Pd	Palladium	10	5	46	55	55
47	Ag	Silver	11	5	47	76	76
48	Cd	Cadmium	12	5	48	53	54
49	In	Indium	13	5	49	57	56
50	Sn	Tin	14	5	50	50	49
51	Sb	Antimony	15	5	51	75	75
52	Te	Tellurium	16	5	52	47	46
53	I	Iodine	17	5	53	58	58
54	Xe	Xenon	18	5	54	45	47
55	Cs	Caesium	1	6	55	71	67
56	Ba	Barium	2	6	56	48	48
57	La	Lanthanum	6		57	66	64
58	Ce	Cerium	6		58	54	57
59	Pr	Praseodymium	6		59	81	81
60	Nd	Neodymium	6		60	59	59
61	Pm	Promethium	6		61	117	117
62	Sm	Samarium	6		62	74	74
63	Eu	Europium	6		63	82	82
64	Gd	Gadolinium	6		64	69	69
65	Tb	Terbium	6		65	84	83
66	Dy	Dysprosium	6		66	64	65
67	Ho	Holmium	6		67	83	85
68	Er	Erbium	6		68	77	77
69	Tm	Thulium	6		69	88	88
70	Yb	Ytterbium	6		70	70	72
71	Lu	Lutetium	3	6	71	87	87
72	Hf	Hafnium	4	6	72	79	79
73	Ta	Tantalum	5	6	73	89	89
74	W	Tungsten	6	6	74	68	70
75	Re	Rhenium	7	6	75	85	84
76	Os	Osmium	8	6	76	63	60
77	Ir	Iridium	9	6	77	61	63
78	Pt	Platinum	10	6	78	56	53
79	Au	Gold	11	6	79	73	73
80	Hg	Mercury	12	6	80	65	66
81	Tl	Thallium	13	6	81	78	78
82	Pb	Lead	14	6	82	49	50
83	Bi	Bismuth	15	6	83	80	80
84	Po	Polonium	16	6	84	116	116
85	At	Astatine	17	6	85	115	115
86	Rn	Radon	18	6	86	114	114
87	Fr	Francium	1	7	87	113	113
88	Ra	Radium	2	7	88	112	112
89	Ac	Actinium	7		89	111	111
90	Th	Thorium	7		90	86	86
91	Pa	Protactinium	7		91	110	110
92	U	Uranium	7		92	90	90
93	Np	Neptunium	7			109	109
94	Pu	Plutonium	7			108	108
95	Am	Americium	7			107	107
96	Cm	Curium	7			106	106
97	Bk	Berkelium	7			105	105
98	Cf	Californium	7			104	104
99	Es	Einsteinium	7			103	103
100	Fm	Fermium	7			102	102
101	Md	Mendelevium	7		101	31	31
102	No	Nobelium	7			101	101
103	Lr	Lawrencium	3	7		100	100
104	Rf	Rutherfordium	4	7		99	99
105	Db	Dubnium	5	7		98	98
106	Sg	Seaborgium	6	7	106	30	30
107	Bh	Bohrium	7	7	107	29	29
108	Hs	Hassium	8	7	108	28	28
109	Mt	Meitnerium	9	7		97	97
110	Ds	Darmstadtium	10	7		96	96
111	Rg	Roentgenium	11	7		95	95
112	Cn	Copernicium	12	7	112	27	27
113	Uut	Ununtrium	13	7	113	26	26
114	Uuq	Ununquadium	14	7	114	25	25
115	Uup	Ununpentium	15	7		94	94
116	Uuh	Ununhexium	16	7		93	93
117	Uus	Ununseptium	17	7		92	92
118	Uuo	Ununoctium	18	7		91	91
