wave_peak	wave_base	wave_top	note
1515.87615	1515.72283	1515.97276	H1F
1516.08729	1515.97276	1516.12272	Fe 1
1516.28906	1516.12272	1516.41264	K 1
1516.46926	1516.41264	1516.54260	C2H2
1516.64767	1516.54260	1516.69256	NO 1
1516.83056	1516.69256	1517.00248	K 1
1517.58158	1517.57232	1517.80226	OH 1
1517.83559	1517.80226	1517.92222	NO 1
1517.98445	1517.92222	1518.05219	Fe 1
1518.14202	1518.05219	1518.18215	CN 1
1518.28930	1518.18215	1518.38210	Fe 1
1518.49755	1518.38210	1518.55205	Fe 1
1518.83947	1518.76199	1518.93195	NO 1
1519.04433	1518.93195	1519.08191	HCl
1519.10784	1519.08191	1519.22187	NO 1
1519.39832	1519.22187	1519.52178	NO 1
1519.67886	1519.52178	1519.71173	NO 1
1519.79790	1519.71173	1519.94167	OH 1
1520.15760	1520.00165	1520.25158	Fe 1
1521.60325	1521.45125	1521.72118	OH 1
1521.78350	1521.72118	1521.81115	Mn 1
1522.11469	1522.00110	1522.21104	SiH
1522.35113	1522.21104	1522.44098	OH 1
1522.45847	1522.44098	1522.55095	Fe 1
1522.63686	1522.55095	1522.78089	Fe 1
1524.84711	1524.71036	1524.88031	OH 1
1524.94288	1524.88031	1525.07026	OH 1
1525.12473	1525.07026	1525.24021	CN 1
1525.39963	1525.24021	1525.45015	Fe 1
1525.66710	1525.51014	1525.75007	SiH
1525.92163	1525.87004	1526.02000	Fe 1
1526.07197	1526.02000	1526.12997	Fe 1
1526.20195	1526.12997	1526.26993	Mn 1
1526.44654	1526.26993	1526.54985	OH 1
1526.61476	1526.54985	1526.69981	OH 1
1527.75104	1527.66954	1527.78951	OH 1
1527.83440	1527.78951	1527.91947	SiH
1528.08931	1527.91947	1528.18940	OH 1
1528.33370	1528.18940	1528.59929	HCl
1528.77667	1528.59929	1528.80923	OH 1
1528.90185	1528.80923	1529.11914	NO 1
1529.16591	1529.11914	1529.24911	CN 1
1529.74218	1529.62900	1529.88893	C2H2
1530.16362	1530.00890	1530.34880	Fe 1
1530.46270	1530.34880	1530.57874	HCN
1531.08035	1530.91865	1531.19857	HCN
1531.25425	1531.19857	1531.36852	C2H2
1531.44603	1531.36852	1531.46850	NO 1
1531.56408	1531.46850	1531.63845	C2H2
